id,x,y,dd,v,d,t,s,r,p,c
8670100,13.78755,100.606849,2014-06-09,ไม่ระบุพาหนะ,14022720,0:00,K,0,0,0
8669785,13.715457,100.6448468,2014-09-30,ไม่ระบุพาหนะ,14120352,0:00,K,0,0,0
8669979,13.77308073,100.3422072,2014-06-21,ไม่ระบุพาหนะ,14033088,0:00,K,0,0,0
8669919,13.796148,100.454129,2014-07-27,ไม่ระบุพาหนะ,14064192,0:00,K,0,0,0
8669989,13.747387,100.523748,2014-09-19,ไม่ระบุพาหนะ,14110848,0:00,K,0,0,0
8670227,13.866805,100.669131,2014-01-01,ไม่ระบุพาหนะ,13885344,0:00,K,0,0,0
8671652,13.727504,100.811963,2014-02-01,ไม่ระบุพาหนะ,13912128,0:00,K,0,0,0
8670191,13.751937,100.645298,2014-11-09,ไม่ระบุพาหนะ,14154912,0:00,K,0,0,0
8672144,13.901618,100.735359,2014-09-07,ไม่ระบุพาหนะ,14100480,0:00,K,0,0,0
8670182,13.815729,100.535531,2014-09-29,ไม่ระบุพาหนะ,14119488,0:00,K,0,0,0
8670253,13.89424,100.662509,2014-09-14,ไม่ระบุพาหนะ,14106528,0:00,K,0,0,0
8671763,13.74401,100.529177,2014-11-01,ไม่ระบุพาหนะ,14148000,0:00,K,0,0,0
8671653,13.727504,100.811963,2014-02-01,ไม่ระบุพาหนะ,13912128,0:00,K,0,0,0
8670291,13.719201,100.666473,2014-10-19,ไม่ระบุพาหนะ,14136768,0:00,K,0,0,0
8670287,13.808117,100.652583,2014-10-01,ไม่ระบุพาหนะ,14121216,0:00,K,0,0,0
8671299,13.75772,100.697727,2014-09-24,ไม่ระบุพาหนะ,14115168,0:00,K,0,0,0
8671329,13.704136,100.588808,2014-05-30,ไม่ระบุพาหนะ,14014080,0:00,K,0,0,0
8670215,13.855284,100.862614,2014-04-07,ไม่ระบุพาหนะ,13968288,0:00,K,0,0,0
8671994,13.721982,100.785951,2014-12-23,ไม่ระบุพาหนะ,14192928,0:00,K,0,0,0
8670222,13.819495,100.736498,2014-09-08,ไม่ระบุพาหนะ,14101344,0:00,K,0,0,0
8670234,13.744524,100.643172,2014-03-13,ไม่ระบุพาหนะ,13946688,0:00,K,0,0,0
8670214,13.813231,100.713386,2014-02-22,ไม่ระบุพาหนะ,13930272,0:00,K,0,0,0
8670154,13.756109,100.523464,2014-03-03,ไม่ระบุพาหนะ,13938048,0:00,K,0,0,0
8670158,13.799266,100.634567,2014-02-24,ไม่ระบุพาหนะ,13932000,0:00,K,0,0,0
8670203,13.62437,100.3918,2014-10-19,ไม่ระบุพาหนะ,14136768,0:00,K,0,0,0
8670220,13.769032,100.691636,2014-08-07,ไม่ระบุพาหนะ,14073696,0:00,K,0,0,0
8670226,13.827009,100.720305,2014-12-01,ไม่ระบุพาหนะ,14173920,0:00,K,0,0,0
8671490,13.682211,100.479269,2014-11-13,ไม่ระบุพาหนะ,14158368,0:00,K,0,0,0
8670186,13.819042,100.636615,2014-10-02,ไม่ระบุพาหนะ,14122080,0:00,K,0,0,0
8672721,13.682917,100.499535,2014-12-14,ไม่ระบุพาหนะ,14185152,0:00,K,0,0,0
8671340,13.619693,100.435439,2014-01-02,ไม่ระบุพาหนะ,13886208,0:00,K,0,0,0
8670235,13.744524,100.643172,2014-03-13,ไม่ระบุพาหนะ,13946688,0:00,K,0,0,0
8670208,13.665809,100.409204,2014-06-14,ไม่ระบุพาหนะ,14027040,0:00,K,0,0,0
8670212,13.823402,100.74094,2014-02-17,ไม่ระบุพาหนะ,13925952,0:00,K,0,0,0
8671414,13.738899,100.51208,2014-07-15,ไม่ระบุพาหนะ,14053824,0:00,K,0,0,0
8670218,13.811993,100.717249,2014-06-29,ไม่ระบุพาหนะ,14040000,0:00,K,0,0,0
8671316,13.681556,100.526738,2014-02-07,ไม่ระบุพาหนะ,13917312,0:00,K,0,0,0
8671744,13.626823,100.505419,2014-07-07,ไม่ระบุพาหนะ,14046912,0:00,K,0,0,0
8670223,13.839705,100.773384,2014-10-01,ไม่ระบุพาหนะ,14121216,0:00,K,0,0,0
8670216,13.792327,100.702274,2014-05-19,ไม่ระบุพาหนะ,14004576,0:00,K,0,0,0
8670224,13.786112,100.746475,2014-11-12,ไม่ระบุพาหนะ,14157504,0:00,K,0,0,0
8670156,13.791423,100.599791,2014-03-23,ไม่ระบุพาหนะ,13955328,0:00,K,0,0,0
8672249,13.721861,100.627108,2014-06-24,ไม่ระบุพาหนะ,14035680,0:00,K,0,0,0
8670213,13.823402,100.74094,2014-02-17,ไม่ระบุพาหนะ,13925952,0:00,K,0,0,0
8670217,13.753333,100.770913,2014-05-27,ไม่ระบุพาหนะ,14011488,0:00,K,0,0,0
8672268,13.746106,100.643478,2014-12-20,ไม่ระบุพาหนะ,14190336,0:00,K,0,0,0
8671382,13.877584,100.577106,2014-03-08,ไม่ระบุพาหนะ,13942368,0:00,K,0,0,0
8670202,13.680286,100.471108,2014-08-01,ไม่ระบุพาหนะ,14068512,0:00,K,0,0,0
8671347,13.726145,100.526398,2014-10-21,ไม่ระบุพาหนะ,14138496,0:00,K,0,0,0
8671484,13.718739,100.519205,2014-07-17,ไม่ระบุพาหนะ,14055552,0:00,K,0,0,0
8671483,13.682771,100.499865,2014-06-28,ไม่ระบุพาหนะ,14039136,0:00,K,0,0,0
8671302,13.747842,100.586915,2014-01-25,ไม่ระบุพาหนะ,13906080,0:00,K,0,0,0
8669866,13.766855,100.46772,2014-07-01,ไม่ระบุพาหนะ,14041728,0:00,K,0,0,0
8669710,13.794927,100.735166,2014-05-21,ไม่ระบุพาหนะ,14006304,0:00,K,0,0,0
8669988,13.76969,100.572925,2014-04-17,ไม่ระบุพาหนะ,13976928,0:00,K,0,0,0
8669956,13.794396,100.746144,2014-01-19,ไม่ระบุพาหนะ,13900896,0:00,K,0,0,0
8669889,13.743208,100.501458,2014-12-08,ไม่ระบุพาหนะ,14179968,0:00,K,0,0,0
8669905,13.80843,100.715361,2014-05-16,ไม่ระบุพาหนะ,14001984,0:00,K,0,0,0
8670031,13.686067,100.36016,2014-07-03,ไม่ระบุพาหนะ,14043456,0:00,K,0,0,0
8670070,13.753892,100.363731,2014-08-11,ไม่ระบุพาหนะ,14077152,0:00,K,0,0,0
8670051,13.792599,100.359273,2014-01-27,ไม่ระบุพาหนะ,13907808,0:00,K,0,0,0
8670037,13.718287,100.47781,2014-01-14,ไม่ระบุพาหนะ,13896576,0:00,K,0,0,0
8670050,13.790457,100.461714,2014-04-20,ไม่ระบุพาหนะ,13979520,0:00,K,0,0,0
8670266,13.918177,100.75087,2014-11-24,ไม่ระบุพาหนะ,14167872,0:00,K,0,0,0
8670178,13.821328,100.574909,2014-08-23,ไม่ระบุพาหนะ,14087520,0:00,K,0,0,0
8670163,13.781522,100.424556,2014-05-17,ไม่ระบุพาหนะ,14002848,0:00,K,0,0,0
8672587,13.767835,100.732422,2014-11-19,ไม่ระบุพาหนะ,14163552,0:00,K,0,0,0
8671309,13.786191,100.489492,2014-12-26,ไม่ระบุพาหนะ,14195520,0:00,K,0,0,0
8670975,13.860327,100.646868,2014-09-08,ไม่ระบุพาหนะ,14101344,0:00,K,0,0,0
8672702,13.752734,100.776815,2014-03-09,ไม่ระบุพาหนะ,13943232,0:00,K,0,0,0
8670270,13.748055,100.793571,2014-12-18,ไม่ระบุพาหนะ,14188608,0:00,K,0,0,0
8670165,13.857009,100.863256,2014-05-24,ไม่ระบุพาหนะ,14008896,0:00,K,0,0,0
8670977,13.839782,100.575926,2014-10-14,ไม่ระบุพาหนะ,14132448,0:00,K,0,0,0
8671332,13.779913,100.705762,2014-05-28,ไม่ระบุพาหนะ,14012352,0:00,K,0,0,0
8671421,13.661037,100.606186,2014-08-07,ไม่ระบุพาหนะ,14073696,0:00,K,0,0,0
8670250,13.781158,100.645798,2014-06-22,ไม่ระบุพาหนะ,14033952,0:00,K,0,0,0
8670973,13.83757,100.576301,2014-07-12,ไม่ระบุพาหนะ,14051232,0:00,K,0,0,0
8672698,13.73238,100.78312,2014-12-27,ไม่ระบุพาหนะ,14196384,0:00,K,0,0,0
8671582,13.718998,100.6707,2014-11-17,ไม่ระบุพาหนะ,14161824,0:00,K,0,0,0
8671485,13.764646,100.483006,2014-04-15,ไม่ระบุพาหนะ,13975200,0:00,K,0,0,0
8671492,13.649249,100.431174,2014-12-14,ไม่ระบุพาหนะ,14185152,0:00,K,0,0,0
8670246,13.778047,100.651942,2014-02-11,ไม่ระบุพาหนะ,13920768,0:00,K,0,0,0
8672699,13.71558,100.740318,2014-12-21,ไม่ระบุพาหนะ,14191200,0:00,K,0,0,0
8671479,13.752213,100.478141,2014-04-20,ไม่ระบุพาหนะ,13979520,0:00,K,0,0,0
8670267,13.890619,100.723969,2014-11-25,ไม่ระบุพาหนะ,14168736,0:00,K,0,0,0
8670195,13.756135,100.746368,2014-11-24,ไม่ระบุพาหนะ,14167872,0:00,K,0,0,0
8670189,13.839641,100.598971,2014-10-16,ไม่ระบุพาหนะ,14134176,0:00,K,0,0,0
8671298,13.860135,100.703979,2014-07-09,ไม่ระบุพาหนะ,14048640,0:00,K,0,0,0
8670966,13.877658,100.598057,2014-04-13,ไม่ระบุพาหนะ,13973472,0:00,K,0,0,0
8671422,13.716564,100.696905,2014-09-18,ไม่ระบุพาหนะ,14109984,0:00,K,0,0,0
8670183,13.740795,100.518409,2014-09-28,ไม่ระบุพาหนะ,14118624,0:00,K,0,0,0
8670179,13.862918,100.634919,2014-09-07,ไม่ระบุพาหนะ,14100480,0:00,K,0,0,0
8671394,13.820842,100.581975,2014-12-29,ไม่ระบุพาหนะ,14198112,0:00,K,0,0,0
8670190,13.733533,100.565272,2014-10-01,ไม่ระบุพาหนะ,14121216,0:00,K,0,0,0
8670171,13.837724,100.573359,2014-06-22,ไม่ระบุพาหนะ,14033952,0:00,K,0,0,0
8671481,13.699114,100.441617,2014-06-22,ไม่ระบุพาหนะ,14033952,0:00,K,0,0,0
8670168,13.810743,100.534442,2014-06-05,ไม่ระบุพาหนะ,14019264,0:00,K,0,0,0
8671388,13.830024,100.621067,2014-08-24,ไม่ระบุพาหนะ,14088384,0:00,K,0,0,0
8671546,13.741861,100.482695,2014-06-18,ไม่ระบุพาหนะ,14030496,0:00,K,0,0,0
8671314,13.751058,100.511048,2014-11-30,ไม่ระบุพาหนะ,14173056,0:00,K,0,0,0
8670265,13.807019,100.835447,2014-11-06,ไม่ระบุพาหนะ,14152320,0:00,K,0,0,0
8670173,13.701815,100.618304,2014-06-28,ไม่ระบุพาหนะ,14039136,0:00,K,0,0,0
8670209,13.652558,100.390683,2014-09-30,ไม่ระบุพาหนะ,14120352,0:00,K,0,0,0
8671693,13.909806,100.889477,2014-11-22,ไม่ระบุพาหนะ,14166144,0:00,K,0,0,0
8670644,13.783716,100.389525,2014-10-09,ไม่ระบุพาหนะ,14128128,0:00,K,0,0,0
8671413,13.738899,100.51208,2014-07-15,ไม่ระบุพาหนะ,14053824,0:00,K,0,0,0
8670159,13.713615,100.564696,2014-04-26,ไม่ระบุพาหนะ,13984704,0:00,K,0,0,0
